player_id,last_name,first_name,team_name,start_year,end_year,sb_attempts,catcher_stealing_runs,caught_stealing_above_average,n_cs,rate_cs,est_cs_pct,cs_aa_per_throw,seasonal_runner_speed,runner_distance_from_second,pop_time,exchange_time,arm_strength,n_xcs_with_flight_over_xcs,n_xcs_with_exchange_over_xcs,n_xcs_with_accuracy_over_xcs,n_xcs_with_ground_other_over_xcs,n_xcs_with_onfly_other_over_xcs,n_xcs_with_untracked_other_over_xcs
553869,Díaz, Elias,COL,2019,2021,55,3.023590029,4.651676967,18,0.327272727,0.242696782,0.084575945,28.05454546,55.30155432,1.936179487,0.733289474,82.43379694,4.522491364,0.548679519,-1.361597755,1.031701953,0.595059446,-0.684657559
571657,Farmer, Kyle,CIN,2019,2021,4,-0.312646866,-0.480995178,1,0.25,0.370248795,-0.120248795,28.475,57.85248102,2.071,0.745,76.6175,-0.410533538,0.021319878,0.473356954,0,-0.565138472,0
663743,Fortes, Nick,MIA,2021,2021,5,-0.187788911,-0.288906016,1,0.2,0.257781203,-0.057781203,27.6,54.89487332,1.9456,0.7054,77.486726,-0.029435788,0.322035104,-0.484583507,-0.208419375,0.111497549,0
608422,Godoy, José,SEA,2021,2021,4,-0.660998126,-1.016920193,0,0,0.254230048,-0.254230048,28.975,57.68975227,1.946,0.7015,79.09814,0.105363596,0.23180921,-0.178363809,-0.784546141,-0.391183049,0
506702,León, Sandy,MIA,2019,2021,54,-2.078425394,-3.19757753,10,0.185185185,0.244399584,-0.059214399,28.08888889,55.88778538,2.036575,0.723051282,75.41520513,-3.437158529,-0.161906462,0.284459706,0.90210903,-0.785081274,0
425772,Mathis, Jeff,ATL,2019,2021,40,-0.567687944,-0.873366067,12,0.3,0.321834152,-0.021834152,27.995,56.15955721,2.07746875,0.751870968,74.29213936,-3.307457456,-0.173751061,-0.211314188,-0.269623167,3.088779805,0
669221,Murphy, Sean,OAK,2019,2021,57,2.049832257,3.153588087,18,0.315789474,0.260463367,0.055326107,28.04210526,56.4508127,1.902469388,0.725166667,83.68677163,6.715442771,-0.395606209,-0.204828224,-0.376040967,-2.585379284,0
621512,Nido, Tomás,NYM,2019,2021,43,1.251485197,1.925361842,13,0.302325581,0.257549725,0.044775857,28.61162791,56.24669754,1.935451613,0.66483871,77.01811097,-0.954674652,4.006406722,-1.545955744,1.328621319,-0.776209644,-0.13282616
543592,Nola, Austin,SD,2019,2021,42,-0.051805368,-0.079700566,8,0.19047619,0.192373823,-0.001897633,27.97857143,55.12373509,1.978028571,0.730857143,77.10146257,-0.51100403,1.100716187,0.018440515,1.482381126,-2.170234363,0
641929,Odom, Joseph,TB,2020,2021,12,-0.852724881,-1.311884432,1,0.083333333,0.192657036,-0.109323703,27.875,54.87181421,2.0867,0.787333333,75.06103111,-0.399037253,-0.199505441,-0.598603637,-0.189404706,0.074666604,0
444489,Piña, Manny,MIL,2019,2021,51,6.19936773,9.537488815,20,0.392156863,0.205147278,0.187009585,28.25686275,54.79123806,1.94995122,0.702170732,79.93022561,1.996437132,3.120623014,4.883617609,-0.781075492,0.317886553,0
663728,Raleigh, Cal,SEA,2021,2021,16,-0.606500435,-0.933077592,4,0.25,0.308317349,-0.058317349,27.9125,57.22041813,2.067214286,0.889571429,81.79495714,1.023085801,-2.700962019,-0.271605155,-0.036212968,1.052616748,0
668670,Rogers, Jake,DET,2019,2021,21,3.041097119,4.678610952,10,0.476190476,0.253399478,0.222790998,28.38095238,56.40777833,1.923421053,0.641736842,77.27796722,-0.362673077,4.04542187,0.967368422,0.997196547,-0.668699933,-0.300002877
607345,Smith, Kevan,ATL,2019,2021,33,-3.320254392,-5.108083679,3,0.090909091,0.245699505,-0.154790415,28.4,56.5916503,2.053619048,0.802857143,79.001248,0.289957529,-2.618699379,-2.082266093,1.340685113,-1.056688951,-0.981071899
435559,Suzuki, Kurt,LAA,2019,2021,89,-5.248295142,-8.074300219,15,0.168539326,0.2592618,-0.090722474,28.1988764,56.35195887,2.025590164,0.786819672,78.23770763,0.217519573,-7.271618511,-2.026982366,2.168854074,-0.361324577,-0.800748411
607333,Taylor, Beau,CLE,2019,2020,5,0.605833789,0.932051982,2,0.4,0.213589604,0.186410396,28.82,55.90145986,2.001,0.771333333,79.66841333,0.116411844,-0.275520791,0.475408584,0,0.615752345,0
621493,Ward, Taylor,LAA,2019,2021,1,-0.084326884,-0.129733668,0,0,0.129733668,-0.129733668,28.5,57.24921908,1.987,0.824,81.65332,0.050296182,-0.071463059,-0.108566792,0,0,0
657136,Wong, Connor,BOS,2021,2021,1,0.273803631,0.421236355,1,1,0.578763645,0.421236355,26.6,59.82720219,1.87,0.723,83.24991,0.171566095,0.072868209,0.176802052,0,0,0
664874,Zavala, Seby,CWS,2019,2021,19,-1.314795553,-2.02276239,3,0.157894737,0.264355915,-0.106461178,28.2,57.68822459,2.069545455,0.833,79.50668273,0.351842983,-2.128344408,0.113443984,0.197402288,-0.557107236,0
572287,Zunino, Mike,TB,2019,2021,69,3.84324103,5.912678507,21,0.304347826,0.218656833,0.085690993,28.05072464,55.409719,1.9685,0.710153846,77.64567904,-0.873051345,4.621864654,0.097521858,0.057501531,2.008841809,0
595751,Alfaro, Jorge,MIA,2019,2021,66,3.511689168,5.40259872,21,0.318181818,0.236324262,0.081857556,28.36666667,55.85296151,1.9311,0.77366,85.4018016,8.897914085,-1.992843056,-0.588615985,-1.019012464,0.322614366,-0.217458226
664119,Allen, Austin,OAK,2019,2021,13,0.165802488,0.255080751,3,0.230769231,0.211147635,0.019621596,28.40769231,56.42832524,2.0714,0.79875,78.463235,0.035194543,-0.757339318,0.935128492,0.81442528,-0.772328247,0
571467,Baron, Steven,PIT,2019,2019,2,-0.244713995,-0.37648307,0,0,0.188241535,-0.188241535,27.9,53.61662882,2.003,0.775,79.538,0.013853109,-0.040458682,0.017807284,0,-0.367684781,0
668663,Barrera, Tres,WSH,2019,2021,14,-0.634086708,-0.975518013,1,0.071428571,0.141108429,-0.069679858,28.41428571,55.10197369,1.986375,0.683625,75.1134475,-0.453613752,0.094128348,-0.995594552,-4.16E-17,0.379561943,0
488771,Castro, Jason,HOU,2019,2021,58,-2.525495623,-3.885377882,11,0.189655172,0.256644446,-0.066989274,28.19482759,56.34049107,1.986375,0.73675,79.23181667,0.823716568,-0.717344348,-2.030902174,2.05776758,-4.018615509,0
518542,Centeno, Juan,BOS,2019,2019,3,-0.192350138,-0.29592329,0,0,0.098641097,-0.098641097,28.23333333,50.60392196,1.9665,0.541,76.867,-0.057488498,0.177315358,-0.017689676,0,-0.398060474,0
641470,Collins, Zack,CWS,2019,2021,46,-3.087511195,-4.750017223,6,0.130434783,0.233696027,-0.103261244,28.34565217,57.06021782,2.039705882,0.751911765,76.43919559,-1.675550322,-1.307983825,-0.464848683,-0.376196912,-0.925437481,0
543089,Davis, Taylor,PIT,2019,2021,8,-0.994071249,-1.529340383,0,0,0.191167548,-0.191167548,28,53.98282376,2.0246,0.7152,79.39128,0.070607144,0.176940707,-1.341021013,0,-0.435867222,0
641598,Garver, Mitch,MIN,2019,2021,48,-3.395650196,-5.224077225,7,0.145833333,0.254668276,-0.108834942,28.30208333,56.6568058,2.052117647,0.816205882,79.30937303,0.934642432,-4.219148191,-1.373645146,-0.255246002,-0.310680317,0
