last_name, first_name,player_id,year,on_base_plus_slg
Cain, Lorenzo,456715,2018,0.812
McCutchen, Andrew,457705,2018,0.792
Jackson, Austin,457706,2018,0.625
Upton, Justin,457708,2018,0.807
Maybin, Cameron,457727,2018,0.662
Turner, Justin,457759,2018,0.924
Posey , Buster,457763,2018,0.741
Bruce, Jay,457803,2018,0.68
Votto, Joey,458015,2018,0.836
Rasmus, Colby,458675,2018,0.426
Gardner, Brett,458731,2018,0.69
Young , Eric,458913,2018,0.551
Joyce, Matt,459964,2018,0.675
Hundley, Nick,460026,2018,0.706
Pennington, Cliff,460060,2018,0.403
Braun, Ryan,460075,2018,0.782
Butera, Drew,460077,2018,0.565
Gordon, Alex,460086,2018,0.694
Gimenez, Chris,460269,2018,0.621
Gómez, Carlos,460576,2018,0.634
Kemp, Matt,461314,2018,0.819
Gonzalez, Gio,461829,2018,0.194
Plouffe, Trevor,461858,2018,0.75
Romine, Andrew,461865,2018,0.504
Andrus, Elvis,462101,2018,0.675
Petit, Gregorio,463610,2018,0.592
Cervelli, Francisco,465041,2018,0.809
Florimón, Pedro,465753,2018,0.699
Cabrera, Melky,466320,2018,0.755
Sandoval, Pablo,467055,2018,0.727
Ramos, Wilson,467092,2018,0.845
Nova, Iván,467100,2018,0.038
Santana, Carlos,467793,2018,0.766
Parra, Gerardo,467827,2018,0.714
Chacín, Jhoulys,468504,2018,0.382
Montero, Miguel,471083,2018,0.154
González, Carlos,471865,2018,0.796
Valbuena, Luis,472528,2018,0.588
Mercer, Jordy,474568,2018,0.696
Belt, Brandon,474832,2018,0.756
Ross, Tyson,475115,2018,0.477
Alonso, Yonder,475174,2018,0.738
Flaherty, Ryan,475247,2018,0.59
Smoak, Justin,475253,2018,0.807
Zimmerman, Ryan,475582,2018,0.823
Hellickson, Jeremy,476451,2018,0.157
Lowrie, Jed,476704,2018,0.801
Álvarez, Pedro,476883,2018,0.697
Kershaw, Clayton,477132,2018,0.623
Avila, Alex,488671,2018,0.603
Barnes, Brandon,488681,2018,0.754
Bourjos, Peter,488721,2018,0.603
Brantley , Michael,488726,2018,0.832
Castro, Jason,488771,2018,0.495
Cruz, Tony,488810,2018,0.462
d'Arnaud, Chase,488818,2018,0.619
Miley, Wade,489119,2018,0.399
Morrison, Logan,489149,2018,0.644
Rosales, Adam,489267,2018,0.671
Hernández, Gorkys,491676,2018,0.676
Sucre, Jesús,491696,2018,0.5
Cespedes, Yoenis,493316,2018,0.821
Gurriel, Yuli,493329,2018,0.751
Beckham, Gordon,493596,2018,0.455
Rodríguez, Ronny,500135,2018,0.591
Solarte, Yangervis,500208,2018,0.655
Rojas, Miguel,500743,2018,0.643
Quintana, Jose,500779,2018,0.154
Escobar, Eduardo,500871,2018,0.823
Martínez, José,500874,2018,0.821
