player_id,last_name,first_name,team_name,start_year,end_year,pitches,catcher_blocking_runs,blocks_above_average,n_pbwp,x_pbwp,blocks_above_average_per_game,freq_pbwp_easy,freq_pbwp_medium,freq_pbwp_tough,diff_pbwp_easy,diff_pbwp_medium,diff_pbwp_tough
593590,Rivas, Webster,SD,2021,,843,1,3,9,12.22587669,0.15306651,0.922894425,0.055753262,0.021352313,0.665741305,-1.908129925,4.468265309
660688,Ruiz, Keibert,WSH,2020,,1000,1,3,10,12.68297192,0.107318877,0.934,0.05,0.016,2.708002387,-2.725648607,2.700618143
446308,Wieters, Matt,STL,2019,,2000,1,3,18,20.95407998,0.0590816,0.949,0.0425,0.0085,0.98303544,1.818923074,0.152121467
680777,Jeffers, Ryan,MIN,2020,,3620,1,3,37,39.92457055,0.032315697,0.938121547,0.050828729,0.011049724,2.938084309,0.553203283,-0.566717044
506702,León, Sandy,MIA,2019,,4814,1,3,47,49.99011327,0.024845146,0.948691317,0.03926049,0.012048193,3.843568933,0.365588866,-1.219044529
545358,Stassi, Max,LAA,2019,,5789,1,3,52,55.26030519,0.022527588,0.94714113,0.043703576,0.009155295,1.351169619,3.280947982,-1.371812413
518735,Grandal, Yasmani,CWS,2019,,9016,1,3,90,92.80356142,0.012438161,0.948203194,0.03893079,0.012866016,-3.787336757,-0.406511859,6.997410037
669134,Campusano, Luis,SD,2020,,400,1,2,3,5.436193199,0.24361932,0.91,0.0775,0.0125,-0.282551449,2.660436878,0.058307771
571657,Farmer, Kyle,CIN,2019,,354,0,2,1,2.551541238,0.175315394,0.974576271,0.016949153,0.008474576,1.274433662,0.580580191,-0.303472615
543432,Lavarnway, Ryan,CLE,2019,,644,1,2,5,7.197327234,0.136479952,0.936335404,0.049689441,0.013975155,-0.724899884,1.889503516,1.032723602
665561,Marchán, Rafael,PHI,2020,,784,0,2,7,8.841744624,0.093966562,0.943877551,0.040816327,0.015306122,0.914192843,0.806784638,0.120767143
668663,Barrera, Tres,WSH,2019,,1042,0,2,10,11.61283282,0.061912968,0.946257198,0.040307102,0.013435701,-1.640346577,0.733754877,2.519424515
425772,Mathis, Jeff,ATL,2019,,3924,0,2,35,36.66970141,0.017020402,0.957441386,0.032619776,0.009938838,-6.043290028,3.668150914,4.044840529
650968,Pozo, Yohel,TEX,2021,,82,0,1,0,1.062611367,0.518347008,0.902439024,0.085365854,0.012195122,0.251910575,0.658627181,0.152073611
602080,Castillo, Erick,CHC,2021,,72,0,1,0,0.666714301,0.370396834,0.944444444,0.055555556,0,0.298339381,0.36837492,0
571467,Baron, Steven,PIT,2019,,83,0,1,0,0.583312658,0.281114534,0.975903614,0,0.024096386,0.249793061,0,0.333519597
640459,Navarreto, Brian,MIA,2020,,119,0,1,0,0.785197155,0.263931817,0.966386555,0.025210084,0.008403361,0.379972241,0.212174591,0.193050324
596119,Swihart, Blake,AZ,2019,,249,0,1,2,3.102980308,0.177185592,0.927710843,0.060240964,0.012048193,0.904514035,0.195868507,0.002597766
492802,Graterol, Juan,CIN,2019,,163,0,1,1,1.568769387,0.13957531,0.957055215,0.024539877,0.018404908,-0.426484013,0.393547762,0.601705638
641929,Odom, Joseph,TB,2020,,560,0,1,5,6.481158539,0.105797039,0.932142857,0.053571429,0.014285714,-2.857603139,2.73066738,1.608094298
608422,Godoy, José,SEA,2021,,435,0,1,4,4.990429608,0.091073987,0.944827586,0.029885057,0.025287356,-0.314633583,0.023416099,1.281647093
623168,Heineman, Tyler,SF,2019,,693,0,1,5,5.539238328,0.031124867,0.956709957,0.037518038,0.005772006,-0.492217755,1.166730891,-0.135274809
455104,Iannetta, Chris,COL,2019,,1748,0,1,16,17.00622454,0.023025733,0.953661327,0.034897025,0.011441648,-2.746626712,2.47260527,1.280245979
621512,Nido, Tomás,NYM,2019,,3204,0,1,28,29.34968628,0.016850016,0.957240949,0.034956305,0.007802747,0.859880588,-1.299510039,1.789315726
669257,Smith, Will,LAD,2019,,6953,0,1,70,70.61190055,0.00352021,0.945634978,0.043865957,0.010499065,0.600970919,2.119413626,-2.108483993
656494,Gushue, Taylor,CHC,2021,,1,0,0,0,0.044591301,1.783652031,1,0,0,0.044591301,0,0
665066,Payne, Tyler,CHC,2021,,11,0,0,0,0.122427929,0.445192468,0.909090909,0.090909091,0,0.070321751,0.052106178,0
606213,Mercedes, Yermín,CWS,2020,,3,0,0,0,0.032054552,0.427394023,1,0,0,0.032054552,0,0
571679,Freitas, David,MIL,2019,,49,0,0,0,0.42928596,0.350437518,0.979591837,0,0.020408163,0.179265356,0,0.250020604
624407,Lin, Tzu-Wei,BOS,2019,,9,0,0,0,0.027922202,0.124098677,1,0,0,0.027922202,0,0
657136,Wong, Connor,BOS,2021,,135,0,0,1,1.306826305,0.090911498,0.948148148,0.044444444,0.007407407,-0.405237321,0.505247406,0.206816221
656941,Schwarber, Kyle,BOS,2019,,2,0,0,0,0.003176015,0.06352029,1,0,0,0.003176015,0,0
668721,Henry, Payton,MIA,2021,,190,0,0,2,2.253972815,0.053467961,0.947368421,0.036842105,0.015789474,-0.257607211,0.695681911,-0.184101885
642851,Wynns, Austin,BAL,2019,,2641,0,0,26,26.48957386,0.007414977,0.952669443,0.033699356,0.0136312,3.276887431,-1.35341948,-1.433894093
460026,Hundley, Nick,OAK,2019,,949,0,0,8,8.086414124,0.003642323,0.964172813,0.026343519,0.009483667,-0.692381616,-0.63429314,1.41308888
664119,Allen, Austin,OAK,2019,,1052,0,0,10,10.05289313,0.002011146,0.948669202,0.042775665,0.008555133,0.36695988,-0.018755948,-0.295310798
656577,Jackson, Alex,MIA,2019,,1550,0,0,17,17.07368634,0.001901583,0.941935484,0.049032258,0.009032258,-2.547288044,3.898712103,-1.27773772
608700,Plawecki, Kevin,BOS,2019,,4189,0,0,52,52.04121001,0.000393507,0.937216519,0.045595608,0.017187873,1.829309429,6.524155925,-8.312255344
669087,Huff, Sam,TEX,2020,,454,0,0,5,5.002258027,0.000198945,0.938325991,0.046255507,0.015418502,-0.339668468,-0.051409853,0.393336348
592407,Holaday, Bryan,AZ,2019,,2019,0,0,20,19.90204587,-0.001940646,0.948489351,0.040614165,0.010896483,2.538802919,-1.548002535,-1.088754512
456124,Kratz, Erik,NYY,2019,,905,0,0,10,9.689307826,-0.013732251,0.944751381,0.040883978,0.014364641,-1.508574566,0.532230911,0.665651481
543376,Joseph, Caleb,TOR,2019,,617,0,0,9,8.670376087,-0.02136946,0.931928687,0.04376013,0.024311183,0.591999301,-0.749426466,-0.172196748
664731,Higgins, P.J.,CHC,2021,,173,0,0,2,1.869845153,-0.030093606,0.924855491,0.057803468,0.01734104,-0.523678934,-0.221212247,0.614736335
